时间,标签,事件,内容
2019.08.13,すべてイベント,ストーリーイベント「真夏のマホマホ王国,波打ち際のソウルサマー！」開催終了！プリンセスコネクト！Re:Dive運営事務局です。2019/08/13(火)21:00に、ストーリーイベント「真夏のマホマホ王国波打ち際のソウルサマー！」…
2019.08.10,すべてお知らせ,「プライズガチャ」開催！期間限定キャラ再登場！,プリンセスコネクト！Re:Dive運営事務局です。2019/08/10(土)12:00から「プライズガチャ」を開催中です！また、期間限定キャラ「スズメ（サ…
2019.08.11,すべてお知らせ,「ダンジョン」マナドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/08/11(日)05:00から「ダンジョン」マナドロップ量2倍キャンペーンを開始しました！！キ…
2019.08.09,すべてお知らせ,キャラ専用装備追加決定！,プリンセスコネクト！Re:Dive運営事務局です。2019/08/10(土)に、下記のキャラにおいて「キャラ専用装備」の追加を予定しております。■キャラ専用…
2019.08.13,すべてお知らせ,「プリンセスコネクト！Re:Dive」×「カラオケの鉄人」コラボ後半開催のお知らせ,プリンセスコネクト！Re:Dive運営事務局です。2019/08/13(火)から「プリンセスコネクト！Re:Dive」と「カラオケの鉄人」コラボ後半が開催中で…
2019.08.09,すべてお知らせ,「ぷりこねっ！りだいぶ」第120話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第120話を掲載しました！■4コマ「…
2019.08.10,すべてお知らせ,キャラ専用装備追加！,プリンセスコネクト！Re:Dive運営事務局です。2019/08/10(土)12:00に、下記のキャラにおいて「キャラ専用装備」を追加しました。■キャラ専…
2019.08.08,すべてアップデート,「マイプロフカード」と「クランプロフカード」に、新しいカードデザインを追加！,プリンセスコネクト！Re:Dive運営事務局です。2019/08/08(木)18:00に「マイプロフカード」と「クランプロフカード」に新しいカードデザインを…
2019.08.08,すべてイベント,復刻ストーリーイベント「タマキとミフユの無人島０ルピ生活」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2019/08/15(木)12:00から、復刻ストーリーイベント「タマキとミフユの無人島０ルピ生活」の開催…
2019.08.08,すべてお知らせ,1.5周年,超直前記念プレゼントのお知らせプリンセスコネクト！Re:Dive運営事務局です。2019/08/15(木)に「プリンセスコネクト！Re:Dive」は1.5周年を迎えます！1.5周年を目前…
2019.08.07,すべてお知らせアップデート,アップデートのお知らせ【2019/08/07(水),12:00公開】プリンセスコネクト！Re:Dive運営事務局です。2019/08/07(水)12:00にアップデートを行いました。※強制アップデートは、2019/08/0…
2019.08.07,すべてお知らせ,「ぷりこねっ！りだいぶ」第119話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第119話を掲載しました！■4コマ「…
2019.08.07,すべてお知らせ,「8月ルナの塔」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2019/08/14(水)10:00から、高難易度クエスト「ルナの塔」の開催が決定しました！ルナの塔は、…
2019.08.06,すべてお知らせ,「ジュエルショップ」を開くとエラーが表示される現象について【2019/08/07(水),10:45追記】プリンセスコネクト！Re:Dive運営事務局です。iOS版にて、「ジュエルショップ」を開くとエラーが表示される現象を確認しております。※ジュエルショップ内の…
2019.08.02,すべてお知らせ,「ぷりこねっ！りだいぶ」第118話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第118話を掲載しました！■4コマ「…
2019.08.06,すべてお知らせ,「ノーマルクエスト」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/08/06(火)05:00から「ノーマルクエスト」ドロップ量2倍キャンペーンを開始しました！！…
2019.07.31,すべてイベント,ストーリーイベント「真夏のマホマホ王国,波打ち際のソウルサマー！」開催中！【2019/08/09(金)16:50追記】プリンセスコネクト！Re:Dive運営事務局です。2019/07/31(水)12:00から「真夏のマホマホ王国波打ち際のソウルサマー！」を開催中です！イ…
2019.07.31,すべてお知らせ,期間限定キャラ「マコト（サマー）」登場！！,プリンセスコネクト！Re:Dive運営事務局です。期間限定キャラ「マコト（サマー）」がピックアップガチャとプラチナガチャから登場！ピックアップガチャでは「マ…
2019.07.31,お知らせグッズ,PRICONNE,CHARACTERSONG09発売のお知らせプリンセスコネクト！Re:Dive運営事務局です。2019/07/31(水)から「プリンセスコネクト！Re:DivePRICONNECHARACTERS…
2019.07.31,すべてお知らせ,キャラ専用装備追加！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/31(水)12:00に、下記のキャラにおいて「キャラ専用装備」を追加しました。■キャラ専…
2019.07.31,すべてお知らせ,「#プリコネ夏のジュエル祭り」トレンド入り記念プレゼントのお知らせ,プリンセスコネクト！Re:Dive運営事務局です。Twitterにおいて「#プリコネ夏のジュエル祭り」のハッシュタグが、皆さまのおかげで見事トレンド1位に入り…
2019.07.31,すべてお知らせ,「イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/31(水)12:00から「イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーンを開…
2019.07.31,すべてお知らせ,アップデートのお知らせ【2019/07/31(水),12:00更新】プリンセスコネクト！Re:Dive運営事務局です。2019/07/31(水)12:00にアップデートを行いました。※本アップデートでは、ストアからのアップ…
2019.07.31,すべてお知らせ,7月「クランバトル」開催期間終了！【2019/07/31(水),15:00追記】プリンセスコネクト！Re:Dive運営事務局です。2019/07/30(火)23:59に、7月「クランバトル」の開催期間が終了しました。クランランキングの…
2019.07.31,お知らせグッズ,「プリンセスコネクト！Re:Dive,ビジュアルファンブック」発売のお知らせプリンセスコネクト！Re:Dive運営事務局です。2019/07/31(水)に「プリンセスコネクト！Re:Diveビジュアルファンブック」が発売されました！…
2019.07.30,すべてお知らせ,「#プリコネ夏のジュエル祭り」開始！,プリンセスコネクト！Re:Dive運営事務局です。本日2019/07/30(火)から「プリンセスコネクト！Re:Dive」の公式Twitterアカウント(@p…
2019.07.31,すべてお知らせ,「探索」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/31(水)05:00から「探索」ドロップ量2倍キャンペーンを開始しました！！キャンペーン…
2019.07.29,すべてお知らせ,1.5周年直前プレゼントのお知らせ,プリンセスコネクト！Re:Dive運営事務局です。2019/08/15(木)に「プリンセスコネクト！Re:Dive」は1.5周年を迎えます！1.5周年を目前…
2019.07.29,お知らせ,「ぷりこねっ！りだいぶ」第117話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第117話を掲載しました！■4コマ「…
2019.07.30,すべてお知らせ,公式Twitter,"RTキャンペーンプレゼントのお知らせプリンセスコネクト！Re:Dive運営事務局です。「プリンセスコネクト！Re:Dive」の公式Twitterにて対象のツイートが50,000RTを達成いたしま…"
2019.07.28,すべてお知らせ,「ノーマルクエスト」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/28(日)05:00から「ノーマルクエスト」ドロップ量2倍キャンペーンを開始しました！！…
2019.07.29,すべてお知らせ,アップデートにともなう不具合について,プリンセスコネクト！Re:Dive運営事務局です。2019/07/26(金)12:00に行ったアップデートから、下記の不具合を確認しております。■確認して…
2019.07.19,すべてお知らせ,アップデートにともなうデータのダウンロードについて,プリンセスコネクト！Re:Dive運営事務局です。2019/07/26(金)12:00のアップデートにて、Unityアップデートを行いました。※強制アップ…
2019.07.26,すべてお知らせ,「ぷりこねっ！りだいぶ」第116話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第116話を掲載しました！■4コマ「…
2019.07.25,お知らせ,「ギルドハウスコンテスト」開催のお知らせ,プリンセスコネクト！Re:Dive運営事務局です。1.5周年記念生放送の開催決定に合わせて「ギルドハウスコンテスト」（以下「本コンテスト」といいます）を開催い…
2019.07.26,すべてお知らせアップデート,アップデートのお知らせ【2019/07/26(金),12:00公開】プリンセスコネクト！Re:Dive運営事務局です。2019/07/26(金)12:00にアップデートを行いました。本アップデートにて、Unityアップデー…
2019.07.26,すべてお知らせ,梅雨明け祝いプレゼントのお知らせ,プリンセスコネクト！Re:Dive運営事務局です。長かった梅雨もようやく明け、夏の暑さも本番となりましたが、いかがお過ごしでしょうか。突然ではございますが、…
2019.07.25,すべてお知らせ,「聖跡調査」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/25(木)05:00から「聖跡調査」ドロップ量2倍キャンペーンを開始しました。キャンペー…
2019.07.23,すべてお知らせ,「7月クランバトル」開催中！【2019/07/25(木),20:20追記】プリンセスコネクト！Re:Dive運営事務局です。2019/07/23(火)05:00から「7月クランバトル」を開催中です！今回から、すでにメインクエスト…
2019.07.25,すべてお知らせイベント,ストーリーイベント「真夏のマホマホ王国,波打ち際のソウルサマー！」開催決定！【2019/07/25(木)16:50追記】プリンセスコネクト！Re:Dive運営事務局です。2019/07/31(水)12:00から、ストーリーイベント「真夏のマホマホ王国波打ち際のソウルサマー！…
2019.07.25,すべてお知らせ,「ジュエル購入」に「毎日更新,ジュエル500個」を期間限定で追加！プリンセスコネクト！Re:Dive運営事務局です。2019/07/25(木)12:00から「ジュエル購入」に「毎日更新ジュエル500個」を期間限定で追加…
2019.07.23,すべてお知らせ,「ぷりこねっ！りだいぶ」第115話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第115話を掲載しました！■4コマ「…
2019.07.22,すべてお知らせアップデート,アップデートのお知らせ【2019/07/22(月),21:00更新】プリンセスコネクト！Re:Dive運営事務局です。2019/07/22(月)21:00にアップデートを行いました。※本アップデートでは、ストアからのアップ…
2019.07.22,すべてイベント,復刻ストーリーイベント「デンジャラスバカンス！渚のグルメプリンセス」開催終了！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/22(月)21:00に、復刻ストーリーイベント「デンジャラスバカンス！渚のグルメプリンセス…
2019.07.22,すべてお知らせ,キャラ専用装備追加決定！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/31(水)に、下記のキャラにおいて「キャラ専用装備」の追加を予定しております。■キャラ専用…
2019.07.22,すべてお知らせ,感謝プレゼントのお知らせ,プリンセスコネクト！Re:Dive運営事務局です。日頃から、多くのプレイヤーの皆さまに「プリンセスコネクト！Re:Dive」をプレイしていただいていることへの…
2019.07.22,すべてお知らせ,メインストーリーにおけるムービー再生位置の一部調整について,プリンセスコネクト！Re:Dive運営事務局です。2019/07/22(月)15:00に行ったアップデートにて、ストーリーをより楽しんでいただくため、メイン…
2019.07.22,すべてお知らせ,「ハードクエスト」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/22(月)05:00から「ハードクエスト」ドロップ量2倍キャンペーンを開始しました！！キ…
2019.07.18,すべてお知らせ,マスターショップにおける一部キャラのメモリーピース購入上限の解放について,プリンセスコネクト！Re:Dive運営事務局です。2019/07/18(木)17:40に、マスターショップにラインナップされている下記キャラのメモリーピース…
2019.07.19,すべてお知らせ,マスターショップにおけるメモリーピース購入上限の変更について,プリンセスコネクト！Re:Dive運営事務局です。2019/07/19(金)18:44に、マスターショップにラインナップされているキャラのメモリーピースの購…
2019.07.20,すべてお知らせ,「7月クランバトル」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/23(火)05:00から「7月クランバトル」を開催します！クランバトルでは、期間中に「本…
2019.07.18,すべてお知らせ,期間限定キャラ「サレン（サマー）」登場！！,プリンセスコネクト！Re:Dive運営事務局です。期間限定キャラ「サレン（サマー）」がピックアップガチャとプラチナガチャから登場！ピックアップガチャでは「サ…
2019.07.18,すべてお知らせ,「★3確定プラチナガチャ」開催！！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/18(木)15:00から、期間限定で「★3確定プラチナガチャ」を開催中です！★3確定プラ…
2019.07.18,すべてアップデート,ギルドハウスに新しい家具を追加＆期間限定で家具を復刻！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/18(木)15:00から、ギルドハウスの家具ショップに新しい家具を追加しました！また、過…
2019.07.18,すべてアップデート,メモリアルサウンドボックスに新しいBGMを追加！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/18(木)15:00に、ギルドハウスの家具「メモリアルサウンドボックス」に新しいBGMを追…
2019.07.18,すべてお知らせ,「ダンジョンショップ」ラインナップ変更について,プリンセスコネクト！Re:Dive運営事務局です。2019/07/18(木)15:00から「ダンジョンショップ」のラインナップを一部変更しました。変更内容…
2019.07.18,すべてお知らせアップデート,アップデートのお知らせ【2019/07/18(木),15:00更新】プリンセスコネクト！Re:Dive運営事務局です。2019/07/18(木)15:00にアップデートを行いました。※本アップデートでは、ストアからのアップ…
2019.07.15,すべてお知らせ,「スペシャルサマーセール」開始！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/15(月)16:09から「スペシャルサマーセール」を開始しました。「スペシャルサマーセー…
2019.07.17,お知らせ,「ぷりこねっ！りだいぶ」第114話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第114話を掲載しました！■4コマ「…
2019.07.17,すべてお知らせ,暑中見舞いプレゼントのお知らせ,プリンセスコネクト！Re:Dive運営事務局です。この夏いかがお過ごしでしょうか。突然ではございますが、暑中見舞いとして、すべてのプレイヤーの皆様にプレゼン…
2019.07.16,すべてお知らせ,「デンジャラスバカンス！渚のグルメプリンセス,復刻記念RTキャンペーン」開催プリンセスコネクト！Re:Dive運営事務局です。ストーリーイベント「デンジャラスバカンス！渚のグルメプリンセス」の復刻を記念して「デンジャラスバカンス！渚の…
2019.07.15,すべてイベント,復刻ストーリーイベント「デンジャラスバカンス！渚のグルメプリンセス」開催中！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/15(月)12:00から、復刻ストーリーイベント「デンジャラスバカンス！渚のグルメプリンセ…
2019.07.17,すべてイベント,「7月ルナの塔」開催中！【2019/07/17(水),16:00追記】プリンセスコネクト！Re:Dive運営事務局です。2019/07/15(月)12:00から、高難易度クエスト「ルナの塔」を開催中です！ルナの塔は、各階に出…
2019.07.15,すべてイベント,「復刻イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/15(月)12:00から「復刻イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーン…
2019.07.22,すべてお知らせ,スキル効果説明文の表記の誤りについて,プリンセスコネクト！Re:Dive運営事務局です。現在、プレイヤーの皆様から、2019/07/18(木)15:00に新登場した「サレン（サマー）」の一部スキ…
2019.07.14,すべてイベント,ストーリーイベント「スズナレインボーステージ！」開催終了！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/14(日)21:00に、ストーリーイベント「スズナレインボーステージ！」の開催期間が終了し…
2019.07.14,すべてお知らせ,「探索」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/14(日)05:00から「探索」ドロップ量2倍キャンペーンを開始しました！！キャンペーン…
2019.07.15,すべてお知らせ,「ノーマルクエスト」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/15(月)05:00から「ノーマルクエスト」ドロップ量2倍キャンペーンを開始しました！！…
2019.07.13,すべてお知らせ,「プライズガチャ」登場！！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/13(土)12:00から「プライズガチャ」を開催中です！また、期間限定キャラ「ペコリーヌ…
2019.07.12,すべてお知らせ,マスターショップの限定ラインナップに新商品を追加予定！！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/18(木)15:00から「マスターショップ」の限定ラインナップに、期間限定キャラ「ペコリー…
2019.07.13,お知らせ,「プリンセスコネクト！Re:Dive」×「カラオケの鉄人」コラボ前半開催のお知らせ,プリンセスコネクト！Re:Dive運営事務局です。2019/07/13(土)から「プリンセスコネクト！Re:Dive」と「カラオケの鉄人」のコラボ前半が開催中…
2019.07.13,すべてお知らせ,キャラ専用装備追加！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/13(土)12:00に、下記のキャラにおいて「キャラ専用装備」を追加しました。■キャラ専…
2019.07.12,すべてお知らせ,ギルドハウスのBGMにおける、一部楽曲のBGM詳細の誤表記について,プリンセスコネクト！Re:Dive運営事務局です。ギルドハウスのBGMにて一部楽曲のBGM詳細に誤りがございました。本件について、2019/07/1214…
2019.07.12,お知らせ,「ぷりこねっ！りだいぶ」第113話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第113話を掲載しました！■4コマ「…
2019.07.10,お知らせ,「ぷりこねっ！りだいぶ」第112話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第112話を掲載しました！■4コマ「…
2019.07.11,すべてお知らせ,「聖跡調査」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/11(木)05:00から「聖跡調査」ドロップ量2倍キャンペーンを開始しました。キャンペー…
2019.07.11,すべてお知らせ,「ダンジョン」マナドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/11(木)05:00から「ダンジョン」マナドロップ量2倍キャンペーンを開始しました！！キ…
2019.07.15,すべてお知らせ,「スペシャルサマーセール」延期のお知らせ,プリンセスコネクト！Re:Dive運営事務局です。2019/07/15(月)12:00から追加を予定しておりました「スペシャルサマーセール」ですが、一部ス…
2019.07.03,すべてお知らせ,イオ（サマー）のユニオンバーストにおいて、音声が再生されない不具合について【2019/07/08(月),15:00追記】プリンセスコネクト！Re:Dive運営事務局です。現在、イオ（サマー）がユニオンバーストを発動した際、カットインの再生時に、音声が正しく再生されない不具合を確…
2019.07.08,すべてイベント,復刻ストーリーイベント「デンジャラスバカンス！渚のグルメプリンセス」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/15(月)12:00から、復刻ストーリーイベント「デンジャラスバカンス！渚のグルメプリンセ…
2019.07.06,すべてお知らせ,「ノーマルクエスト」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/06(土)05:00から「ノーマルクエスト」ドロップ量2倍キャンペーンを開始しました！！…
2019.07.04,お知らせ,「ぷりこねっ！りだいぶ」第110話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第110話を掲載しました！■4コマ「…
2019.07.07,すべてお知らせ,「7月ルナの塔」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2019/07/15(月)12:00から、高難易度クエスト「ルナの塔」の開催が決定しました！ルナの塔は、…
2019.07.05,お知らせ,「ぷりこねっ！りだいぶ」第111話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第111話を掲載しました！■4コマ「…
2019.07.04,すべてお知らせ,イベント「スズナレインボーステージ！」にて、一部の画面が正しく表示されない不具合について,2019/7/4(木)19:00追記プリンセスコネクト！Re:Dive運営事務局です。2019/07/04(木)00:00～07:00に実施したメンテナンス後から、下記の不具合を確認してお…
2019.07.04,すべてお知らせメンテナンス,2019/07/04,(木)メンテナンス終了のお知らせプリンセスコネクト！Re:Dive運営事務局です。下記の期間にて、一部サーバー機器の調整を行うため実施しておりましたメンテナンスが終了いたしました。■メンテ…
2019.06.30,すべてお知らせ,期間限定キャラ「スズナ（サマー）」登場！！,プリンセスコネクト！Re:Dive運営事務局です。期間限定キャラ「スズナ（サマー）」がピックアップガチャとプラチナガチャから登場！ピックアップガチャでは「ス…
2019.07.09,すべてお知らせアップデート,アップデートのお知らせ【2019/07/09(火),14:30追記】プリンセスコネクト！Re:Dive運営事務局です。2019/07/08(月)12:00にアップデートを行いました。※強制アップデートは、2019/07/1…
2019.06.30,すべてお知らせ,キャラ専用装備追加！,プリンセスコネクト！Re:Dive運営事務局です。2019/06/30(日)12:00に、下記のキャラにおいて「キャラ専用装備」を追加しました。■キャラ専…
2019.06.30,すべてお知らせ,感謝プレゼントのお知らせ,プリンセスコネクト！Re:Dive運営事務局です。日頃から多くのプレイヤーの皆さまに「プリンセスコネクト！Re:Dive」をプレイしていただいていることへの感…
2019.06.30,すべてお知らせ,「★3確定プラチナガチャ」開催！！,プリンセスコネクト！Re:Dive運営事務局です。2019/06/30(日)12:00から、期間限定で「★3確定プラチナガチャ」を開催中です！★3確定プラ…
2019.06.30,すべてお知らせ,「イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/06/30(日)12:00から「イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーンを開…
2019.07.01,すべてお知らせ,「Re:ゼロから集まる異世界食卓」のイベントストーリーと信頼度エピソードを全話解放！,【2019/07/01(月)16:30追記】プリンセスコネクト！Re:Dive運営事務局です。ご好評いただきました「Re:ゼロから始める異世界生活」とのコラボレーションイベント「Re:ゼロから集まる異世…
2019.06.30,すべてアップデート,「マイプロフカード」と「クランプロフカード」に、夏のカードデザインを追加！,プリンセスコネクト！Re:Dive運営事務局です。2019/06/30(日)12:00に「マイプロフカード」と「クランプロフカード」に夏のカードデザインを追…
2019.06.30,すべてお知らせアップデート,アップデートのお知らせ【2019/06/30(日),12:00更新】プリンセスコネクト！Re:Dive運営事務局です。2019/06/30(日)12:00にアップデートを行いました。※本アップデートでは、ストアからのアップ…
2019.06.30,すべてお知らせ,6月「クランバトル」開催期間終了！【2019/06/30(日),15:00追記】プリンセスコネクト！Re:Dive運営事務局です。2019/06/29(土)23:59に、6月「クランバトル」の開催期間が終了しました。クランランキングの…
2019.06.27,すべてお知らせメンテナンス,2019/07/04(木),メンテナンス実施のお知らせプリンセスコネクト！Re:Dive運営事務局です。下記の期間、一部サーバー機器の調整を行うため、メンテナンスを実施いたします。■メンテナンス期間2019/…
2019.06.26,お知らせ,「ぷりこねっ！りだいぶ」第109話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第109話を掲載しました！■4コマ「…
2019.06.27,すべてお知らせ,「ノーマルクエスト」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/06/27(木)05:00から「ノーマルクエスト」ドロップ量2倍キャンペーンを開始しました！！…
2019.06.25,お知らせ,「ぷりこねっ！りだいぶ」第108話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第108話を掲載しました！■4コマ「…
2019.06.26,すべてお知らせアップデート,アップデートのお知らせ【2019/06/26(水),12:00公開】プリンセスコネクト！Re:Dive運営事務局です。2019/06/26(水)12:00にアップデートを行いました。※強制アップデートは、2019/06/2…
2019.06.24,すべてイベント,ストーリーイベント「スズナレインボーステージ！」開催決定！【2019/06/24(月),15:20追記】プリンセスコネクト！Re:Dive運営事務局です。2019/06/30(日)12:00から、ストーリーイベント「スズナレインボーステージ！」の開催が決定しま…
2019.06.25,すべてお知らせアップデート,アップデートのお知らせ【2019/06/26(水),12:30追記】プリンセスコネクト！Re:Dive運営事務局です。2019/06/25(火)12:00にアップデートを行いました。※強制アップデートは、2019/06/2…
2019.06.24,すべてお知らせ,「ジュエル購入」に「毎日更新,ジュエル500個」を期間限定で追加！プリンセスコネクト！Re:Dive運営事務局です。2019/06/24(月)12:00から「ジュエル購入」に「毎日更新ジュエル500個」を期間限定で追加…
2019.06.21,すべてお知らせ,キャラ専用装備追加決定！,プリンセスコネクト！Re:Dive運営事務局です。2019/06/30(日)に、下記のキャラにおいて「キャラ専用装備」の追加を予定しております。■キャラ専用…
2019.06.21,お知らせ,「ぷりこねっ！りだいぶ」第107話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第107話を掲載しました！■4コマ「…
2019.06.22,すべてイベント,復刻ストーリーイベント「ヴァンパイアハンター,withイリヤ」開催終了！プリンセスコネクト！Re:Dive運営事務局です。2019/06/22(土)21:00に、復刻ストーリーイベント「ヴァンパイアハンターwithイリヤ」の…
2019.06.28,お知らせ,「6月クランバトル」開催中！【2019/06/28(金),17:23追記】プリンセスコネクト！Re:Dive運営事務局です。2019/06/22(土)05:00から「6月クランバトル」を開催中です！クランバトルでは期間中に「本戦…
2019.06.21,すべてお知らせ,「ハードクエスト」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/06/21(金)05:00から「ハードクエスト」ドロップ量2倍キャンペーンを開始しました！！キ…
2019.06.21,すべてお知らせ,「聖跡調査」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/06/21(金)05:00から「聖跡調査」ドロップ量2倍キャンペーンを開始しました。キャンペー…
2019.06.19,すべてお知らせ,「6月クランバトル」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2019/06/22(土)05:00から「6月クランバトル」を開催します！クランバトルでは、期間中に「本…
2019.06.18,すべてお知らせ,「★3確定プラチナガチャ」開催！！,プリンセスコネクト！Re:Dive運営事務局です。2019/06/18(火)15:00から、期間限定で「★3確定プラチナガチャ」を開催中です！★3確定プラ…
2019.06.18,すべてお知らせ,期間限定キャラ「エミリア」登場！！,プリンセスコネクト！Re:Dive運営事務局です。期間限定キャラ「エミリア」がピックアップガチャとプラチナガチャから登場！ピックアップガチャでは「エミリア」…
2019.06.19,すべてお知らせアップデート,アップデートのお知らせ【2019/06/19(水),12:00公開】プリンセスコネクト！Re:Dive運営事務局です。2019/06/19(水)12:00にアップデートを行いました。※強制アップデートは、2019/06/2…
2019.06.18,すべてお知らせ,「ジュエル・その他購入」に「アイテム装備パック」4種類を追加！,プリンセスコネクト！Re:Dive運営事務局です。2019/06/18(火)15:00から「ジュエル・その他購入」の「スペシャルショップ」に「アイテム装備パ…
2019.06.18,すべてお知らせ,専用装備Lv上限解放！,プリンセスコネクト！Re:Dive運営事務局です。2019/06/18(火)15:00に「キャラ専用装備」の強化Lv上限を130から「140」に引き上げまし…
2019.06.18,すべてアップデート,ギルドハウスに新しい家具を追加！,プリンセスコネクト！Re:Dive運営事務局です。2019/06/18(火)15:00から、ギルドハウスの家具ショップに新しい家具を追加しました！期間限定…
2019.06.18,すべてアップデート,メモリアルサウンドボックスに新しいBGMを追加！,プリンセスコネクト！Re:Dive運営事務局です。2019/06/18(火)15:00に、ギルドハウスの家具「メモリアルサウンドボックス」に新しいBGMを追…
2019.06.17,お知らせ,「ぷりこねっ！りだいぶ」第106話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第106話を掲載しました！■4コマ「…
2019.06.15,すべてイベント,復刻ストーリーイベント「ヴァンパイアハンター,withイリヤ」開催中！プリンセスコネクト！Re:Dive運営事務局です。2019/06/15(土)12:00から、復刻ストーリーイベント「ヴァンパイアハンターwithイリヤ」…
2019.06.30,すべてイベント,ストーリーイベント「スズナレインボーステージ！」開催中！【2019/07/01(月),18:30追記】プリンセスコネクト！Re:Dive運営事務局です。2019/06/30(日)12:00から「スズナレインボーステージ！」を開催中です！イベント「スズナレイ…
2019.06.15,すべてお知らせ,復刻イベントキャラ,ピックアップガチャ開催！！プリンセスコネクト！Re:Dive運営事務局です。2019/06/15(土)12:00から、復刻ストーリーイベント「ヴァンパイアハンターwithイリヤ」…
