时间,标签,事件,内容
2020.04.10,すべてお知らせ,キャラ専用装備追加！,プリンセスコネクト！Re:Dive運営事務局です。2020/04/10(金)12:00に、下記のキャラにおいて「キャラ専用装備」を追加しました。■キャラ専用…
2020.04.10,すべてお知らせイベント,復刻ストーリーイベント「アストルムに咲く双輪の華」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2020/04/17(金)12:00から、復刻ストーリーイベント「アストルムに咲く双輪の華」の開催が決定し…
2020.04.10,すべてお知らせ,「ダンジョン」マナドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/04/10(金)05:00から「ダンジョン」マナドロップ量2倍キャンペーンを開始しました！！キ…
2020.04.10,すべてお知らせ,「聖跡調査」「神殿調査」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/04/10(金)05:00から「聖跡調査」「神殿調査」ドロップ量2倍キャンペーンを開始しました。…
2020.04.09,すべてお知らせ,キャラ専用装備追加決定！,プリンセスコネクト！Re:Dive運営事務局です。2020/04/10(金)に、下記のキャラにおいて「キャラ専用装備」の追加を予定しております。■キャラ専用…
2020.04.09,すべてお知らせアップデート,アップデートのお知らせ【2020/04/14(火),20:00追記】プリンセスコネクト！Re:Dive運営事務局です。2020/04/09(木)12:00にアップデートを行いました。※強制アップデートは、2020/04/1…
2020.04.08,すべてお知らせ,新型コロナウイルス感染症にともなう運営状況について,プリンセスコネクト！Re:Dive運営事務局です。現在、当運営事務局では、新型コロナウイルス感染拡大防止の取り組みとして、本サービスの運用体制を変更して運営を…
2020.04.07,お知らせ,「ぷりこねっ！りだいぶ」第174話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第174話を掲載しました！■4コマ「…
2020.04.07,すべてお知らせ,「4月ルナの塔」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2020/04/14(火)12:00から、高難易度クエスト「ルナの塔」の開催が決定しました！ルナの塔は、…
2020.04.06,すべてお知らせ,「アニメ放送記念,スタンプログインキャンペーン」開催！！プリンセスコネクト！Re:Dive運営事務局です。アニメ「プリンセスコネクト！Re:Dive」の放送開始を記念して、2020/04/06(月)05:00から…
2020.04.04,すべてお知らせ,「ノーマルクエスト」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/04/04(土)05:00から「ノーマルクエスト」ドロップ量2倍キャンペーンを開始しました！！…
2020.04.03,すべてお知らせアップデート,アップデートのお知らせ【2020/04/03(金),12:00更新】プリンセスコネクト！Re:Dive運営事務局です。2020/04/03(金)12:00にアップデートを行いました。※本アップデートでは、ストアからのアップ…
2020.04.01,すべてお知らせ,24時間限定イベント｢バトル,オブランドソル巨影復活｣開催中！【2020/04/02(木)15:17追記】プリンセスコネクト！Re:Dive運営事務局です。2020/04/01(水)00:00から、24時間限定イベント｢バトルオブランドソル巨影復活｣を開催…
2020.03.31,グッズ,プリンセスコネクト！Re:Dive,公式アートワークスVol.1発売のお知らせプリンセスコネクト！Re:Dive運営事務局です。2018年までに登場したキャラクターや、イベントの美麗なイラストが480ページの大ボリュームで楽しめる、公式…
2020.03.31,すべてお知らせ,新キャラ「ユニ」登場！ピックアップガチャはおまけ付き！,プリンセスコネクト！Re:Dive運営事務局です。新キャラ「ユニ」がピックアップガチャとプラチナガチャから登場！ピックアップガチャでは「ユニ」の提供割合がア…
2020.03.31,すべてお知らせイベント,ストーリーイベント「授けの財団と聖なる学舎の異端児」開催中！【2020/03/31（火）23:55,追記】プリンセスコネクト！Re:Dive運営事務局です。2020/03/31(火)12:00からストーリーイベント「授けの財団と聖なる学舎の異端児」を開催中です！…
2020.03.31,すべてお知らせ,「ハツネ」の★6才能開花が登場！,プリンセスコネクト！Re:Dive運営事務局です。2020/03/31(火)12:00に、下記キャラの★6才能開花が登場しました。■★6才能開花が登場した…
2020.03.31,すべてお知らせイベント,「イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/03/31(火)12:00から「イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーンを開…
2020.03.31,すべてお知らせアップデート,アップデートのお知らせ【2020/03/31(火),13:00追記】プリンセスコネクト！Re:Dive運営事務局です。2020/03/31(火)12:00にアップデートを行いました。※本アップデートでは、ストアからのアップ…
2020.03.31,すべてお知らせ,「3月クランバトル」開催期間終了！【2020/03/31(火),15:00追記】プリンセスコネクト！Re:Dive運営事務局です。2020/03/30(月)23:59に、「3月クランバトル」の開催期間が終了しました。クランランキングの…
2020.03.31,すべてお知らせアップデート,「キャラクターバースデー,ストーリー」追加！プリンセスコネクト！Re:Dive運営事務局です。2020/03/31(火)05:00に、キャラの誕生日をお祝いする「キャラクターバースデーストーリー」を…
2020.03.31,すべてお知らせ,「探索」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/03/31(火)05:00から「探索」ドロップ量2倍キャンペーンを開始しました！！キャンペーン…
2019.07.22,すべてお知らせ,現在確認している不具合について【2020/03/30(月),14:25追記】プリンセスコネクト！Re:Dive運営事務局です。ゲーム内にて以下の不具合を確認しております。プレイヤーの皆様には、ご迷惑をおかけしますことを、お詫び申し上…
2020.03.27,お知らせ,「ぷりこねっ！りだいぶ」第173話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第173話を掲載しました！■4コマ「…
2020.03.26,すべてお知らせ,「復刻限定キャラ,プライズガチャ」開催！期間限定キャラ再登場！プリンセスコネクト！Re:Dive運営事務局です。2020/03/26(木)12:00から「復刻限定キャラプライズガチャ」を開催中です！また、期間限定キ…
2020.03.26,すべてお知らせアップデート,アップデートのお知らせ【2020/03/26(木),15:00公開】プリンセスコネクト！Re:Dive運営事務局です。2020/03/26(木)15:00にアップデートを行いました。※強制アップデートは、2020/03/3…
2020.03.25,すべてお知らせイベント,イベント「スターライトプリンセス,Re:M@STER！」のイベントストーリー全話解放！【2020/03/2618:38追記】プリンセスコネクト！Re:Dive運営事務局です。ご好評いただきました「アイドルマスターシンデレラガールズスターライトステージ」とのコラボレーションイベン…
2020.03.25,すべてお知らせ,「3月クランバトル」開催中！,プリンセスコネクト！Re:Dive運営事務局です。2020/03/25(水)05:00から「3月クランバトル」を開催中です！クランバトルでは、クランごとに…
2020.03.24,すべてお知らせイベント,復刻ストーリーイベント「王都の名探偵,嘆きの追跡者（ストーカー）」開催終了！プリンセスコネクト！Re:Dive運営事務局です。2020/03/24(火)21:00に、復刻ストーリーイベント「王都の名探偵嘆きの追跡者（ストーカー）」…
2020.03.25,すべてお知らせ,「ジュエル・その他購入」に「毎日更新,ジュエル500個」を期間限定で追加！プリンセスコネクト！Re:Dive運営事務局です。2020/03/25(水)12:00から「ジュエル・その他購入」に「毎日更新ジュエル500個」を期間限…
2020.03.24,お知らせ,「ぷりこねっ！りだいぶ」第172話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第172話を掲載しました！■4コマ「…
2020.03.23,お知らせ,「ぷりこねっ！りだいぶ」第171話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第171話を掲載しました！■4コマ「…
2020.03.24,すべてイベント,ストーリーイベント「授けの財団と聖なる学舎の異端児」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2020/03/31(火)12:00から、ストーリーイベント「授けの財団と聖なる学舎の異端児」の開催が決定…
2020.03.24,すべてお知らせ,「ハードクエスト」ドロップ量3倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/03/24(火)05:00から「ハードクエスト」ドロップ量3倍キャンペーンを開始しました！！キ…
2020.03.23,グッズ,プリンセスコネクト！Re:Dive,汁椀＆スプーンセット先行予約開始のお知らせプリンセスコネクト！Re:Dive運営事務局です。本日2020/03/23(月)から、山中漆器の汁椀＆スプーンセットの先行予約が開始しました！【美食殿】をイ…
2020.03.22,すべてお知らせ,「3月クランバトル」開催決定！【2020/03/23(月),16:30追記】プリンセスコネクト！Re:Dive運営事務局です。2020/03/25(水)05:00から「3月クランバトル」を開催します！クランバトルでは、クランごとに…
2020.03.23,すべてお知らせメンテナンス,2020/03/23(月),メンテナンス終了のお知らせ【2020/03/25(水)20:00追記】プリンセスコネクト！Re:Dive運営事務局です。下記の期間にて、一部サーバー機器の調整を行うため実施しておりましたメンテナンスが終了いたしました。■メンテ…
2020.03.18,すべてお知らせメンテナンス,2020/03/23(月),メンテナンス実施のお知らせ【2020/03/23(月)10:30追記】プリンセスコネクト！Re:Dive運営事務局です。下記の期間に、一部サーバー機器の調整を行うため、メンテナンスを実施いたします。■メンテナンス期間2020…
2020.03.21,すべてお知らせイベント,ストーリーイベント「スターライトプリンセス,Re:M@STER！」開催終了！プリンセスコネクト！Re:Dive運営事務局です。2020/03/21(土)20:59に、ストーリーイベント「スターライトプリンセスRe:M@STER！」…
2020.03.19,すべてお知らせ,「ハツネ」の★6才能開花が登場決定！,プリンセスコネクト！Re:Dive運営事務局です。2020/03/31(火)に、下記キャラの「★6才能開花」の登場を予定しております。■★6才能開花の登場予…
2020.03.18,お知らせ,「ぷりこねっ！りだいぶ」第170話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第170話を掲載しました！■4コマ「…
2020.03.22,すべてお知らせ,「聖跡調査」「神殿調査」ドロップ量3倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/03/22(日)05:00から「聖跡調査」「神殿調査」ドロップ量3倍キャンペーンを開始しました。…
2020.03.18,すべてお知らせ,「3月クランバトル」モード変更開始！【2020/03/18(水),18:20追記】プリンセスコネクト！Re:Dive運営事務局です。2020/03/18(水)12:00から、3月クランバトルのモード変更期間です。■モード変更および選択に…
2020.03.17,お知らせ,「王都の名探偵,嘆きの追跡者（ストーカー）復刻記念RTキャンペーン」開催プリンセスコネクト！Re:Dive運営事務局です。ストーリーイベント「王都の名探偵嘆きの追跡者（ストーカー）」の復刻を記念して「王都の名探偵嘆きの追跡者（…
2020.03.17,お知らせ,「ぷりこねっ！りだいぶ」第169話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第169話を掲載しました！■4コマ「…
2020.03.17,すべてお知らせイベント,復刻ストーリーイベント「王都の名探偵,嘆きの追跡者（ストーカー）」開催中！【2020/03/17(火)13:10追記】プリンセスコネクト！Re:Dive運営事務局です。2020/03/17(火)12:00から、復刻ストーリーイベント「王都の名探偵嘆きの追跡者（ストーカー）…
2020.03.17,すべてお知らせイベント,「復刻イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/03/17(火)12:00から「復刻イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーン…
2020.03.16,すべてお知らせイベント,新機能「サイドストーリー」追加！,プリンセスコネクト！Re:Dive運営事務局です。2020/03/16(月)15:00から、新機能「サイドストーリー」を追加しました！サイドストーリーでは…
2020.03.16,すべてお知らせ,マスターショップに「ペコリーヌ（プリンセス）のメモリーピース」を追加！,プリンセスコネクト！Re:Dive運営事務局です。2020/03/16(月)15:00から「マスターショップ」の限定ラインナップに、プリンセスフェス限定キャ…
2020.03.16,すべてお知らせ,「キャラ育成応援キャンペーン」開催！！,プリンセスコネクト！Re:Dive運営事務局です。2020/03/16(月)05:00から「キャラ育成応援キャンペーン」を開催しました！2020/03/…
2020.03.13,すべてお知らせアップデート,アップデートのお知らせ【2020/03/13(金),17:00公開】プリンセスコネクト！Re:Dive運営事務局です。2020/03/13(金)17:00にアップデートを行いました。※強制アップデートは、2020/03/1…
2020.03.13,すべてお知らせ,期間限定キャラ「リン（デレマス）」登場！ピックアップガチャはおまけ付き！,プリンセスコネクト！Re:Dive運営事務局です。「アイドルマスターシンデレラガールズスターライトステージ」とのコラボキャラ「リン（デレマス）」が期間限定…
2020.03.13,すべてアップデート,ギルドハウスに新しい家具を追加＆期間限定で家具を復刻！,プリンセスコネクト！Re:Dive運営事務局です。2020/03/13(金)15:00に、ギルドハウスの家具ショップに新しい家具を追加しました！また、過去…
2020.03.13,すべてお知らせ,「★3確定プラチナガチャ」開催！対象キャラにはおまけ付き！,プリンセスコネクト！Re:Dive運営事務局です。2020/03/13(金)15:00から、期間限定で「★3確定プラチナガチャ」を開催中です！★3確定プラ…
2020.03.13,すべてアップデート,メモリアルサウンドボックスに新しいBGMを追加！,プリンセスコネクト！Re:Dive運営事務局です。2020/03/13(金)15:00に、ギルドハウスの家具「メモリアルサウンドボックス」に新しいBGMを追…
